feature,importance
cat__default_unknown,0.08101765531202457
cat__default_no,0.06343047383339495
num__age,0.06290085320081917
cat__loan_yes,0.05509140432447692
cat__job_admin.,0.0506165274267019
cat__housing_yes,0.05003174984457735
cat__education_university.degree,0.04932628128568345
cat__job_technician,0.04267495634462173
cat__loan_no,0.04178390292008402
cat__education_basic.4y,0.03961080292398522
cat__housing_no,0.03535290794341907
cat__education_professional.course,0.031227149291615658
cat__job_blue-collar,0.030544306644870036
num__duration,0.021351477120458665
cat__job_entrepreneur,0.020680654633470675
cat__job_services,0.020646996459515433
cat__education_unknown,0.020253803440836538
cat__job_management,0.019996449163659214
cat__education_high.school,0.019273335251344715
num__euribor3m,0.01870964895935278
cat__job_self-employed,0.018215227753391613
cat__poutcome_failure,0.016723033742024933
cat__education_basic.9y,0.01392575375932907
num__previous,0.013752620721758493
cat__job_unemployed,0.012835347458709569
cat__poutcome_nonexistent,0.012182761944257669
num__campaign,0.011202266905135339
cat__job_student,0.009620965523549112
num__cons.conf.idx,0.008231160681717581
cat__job_retired,0.008190193678087434
num__cons.price.idx,0.0077199423613061365
cat__education_basic.6y,0.006849455345257695
cat__job_housemaid,0.006299819470749312
num__nr.employed,0.006105091584286277
num__emp.var.rate,0.005745362981609169
cat__poutcome_success,0.005624562312514189
num__previously_contacted,0.004864529169093839
cat__marital_single,0.004662897980370319
cat__marital_married,0.004382553219512506
cat__day_of_week_thu,0.003254437871577621
cat__day_of_week_tue,0.003211734210438795
cat__day_of_week_fri,0.0031985569467849924
cat__day_of_week_wed,0.0031916439333094593
cat__day_of_week_mon,0.003158776530045382
cat__month_aug,0.003063260324293491
cat__loan_unknown,0.0030463150285454134
cat__housing_unknown,0.003039525429251979
cat__job_unknown,0.0028440060400341527
num__pdays_clean,0.0024951216817083984
cat__marital_divorced,0.002384252705427328
cat__contact_telephone,0.0021595562819739537
cat__contact_cellular,0.0020549407740469284
cat__month_may,0.001820729290758713
cat__month_jul,0.0016003139366193879
cat__marital_unknown,0.0015396824929146424
cat__month_jun,0.0015012082648625245
cat__month_nov,0.0012533139230977133
cat__month_apr,0.0011531241234984994
cat__month_oct,0.0006791432812686701
cat__month_sep,0.0005592409357665088
cat__month_mar,0.000545123731057896
cat__month_dec,0.0003279511216798167
cat__education_illiterate,0.0001977731367120974
cat__default_yes,6.538508675335762e-05
